Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,sex,Population,Super_Population_Code,Cell_Line,Cell_type,common_name,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,Submitter_Id,disease,CULTURE_COLLECTION,DNA-ID,Population_Description,Super_Population_Description,Family_Id,Broker_name,Coriell_panel,Genotype,relationship,Coriell_plate,HapMap_sample_ID,BIOMATERIAL_PROVIDER,BioSampleModel,Isolate,tissue,AssemblyName,AGE,Collection,ETHNICITY,family_role,Race,tag,Isolation_source,sample_type,well_information,Individual,organism_part,fosmid_library_name,fosmid_library_source,relationship_type,Chinese_Code,local_family_id,type,xenograft
SRR15009643,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321765,NextSeq 550,na12878-icell8-fdu-codexis-r12-c20,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,34231152,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",152,83577504,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009644,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321764,NextSeq 550,na12878-icell8-fdu-codexis-r12-c19,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,30702243,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",152,75005768,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009645,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321763,NextSeq 550,na12878-icell8-fdu-codexis-r12-c18,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,30843200,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",152,75133752,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009646,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321762,NextSeq 550,na12878-icell8-fdu-codexis-r12-c17,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,33277495,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",152,81243392,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009647,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321761,NextSeq 550,na12878-icell8-fdu-133quickligase-r01-c22,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,507009,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",152,934952,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009648,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321760,NextSeq 550,na12878-icell8-fdu-codexis-r12-c14,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,20247196,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",152,49159992,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009649,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321759,NextSeq 550,na12878-icell8-fdu-codexis-r12-c12,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,40056115,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",152,97417864,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009650,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321758,NextSeq 550,na12878-icell8-fdu-codexis-r12-c10,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,14683612,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",152,35530456,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009651,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321757,NextSeq 550,na12878-icell8-fdu-codexis-r11-c23,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,28634588,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",152,67670704,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009652,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321756,NextSeq 550,na12878-icell8-fdu-codexis-r11-c22,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,27421125,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",152,66928640,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009653,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321755,NextSeq 550,na12878-icell8-fdu-codexis-r11-c21,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,28498913,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",152,69265488,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009654,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321754,NextSeq 550,na12878-icell8-fdu-codexis-r11-c20,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,37896905,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",152,92660872,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009655,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321753,NextSeq 550,na12878-icell8-fdu-codexis-r11-c19,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,27052870,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",152,65907960,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009656,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321752,NextSeq 550,na12878-icell8-fdu-codexis-r11-c18,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,30202693,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",152,73101512,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009657,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321751,NextSeq 550,na12878-icell8-fdu-codexis-r11-c17,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,32032720,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",152,78291400,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009658,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321750,NextSeq 550,na12878-icell8-fdu-133quickligase-r01-c21,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,28590506,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",152,69300752,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009659,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321749,NextSeq 550,na12878-icell8-fdu-codexis-r11-c15,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,29206615,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",152,71533632,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009660,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321748,NextSeq 550,na12878-icell8-fdu-codexis-r11-c13,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,31387163,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",152,76680656,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009661,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321747,NextSeq 550,na12878-icell8-fdu-codexis-r11-c11,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,18577871,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",152,44477176,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009662,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321746,NextSeq 550,na12878-icell8-fdu-codexis-r11-c09,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,9092429,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",152,21953360,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009663,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321745,NextSeq 550,na12878-icell8-fdu-codexis-r11-c07,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,22871968,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",152,55885688,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009664,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321744,NextSeq 550,na12878-icell8-fdu-codexis-r11-c05,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,15029229,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",152,36237104,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009665,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321743,NextSeq 550,na12878-icell8-fdu-codexis-r11-c03,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,13445575,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",152,32337848,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009666,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321742,NextSeq 550,na12878-icell8-fdu-codexis-r11-c01,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,27828620,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",152,68181424,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009667,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321741,NextSeq 550,na12878-icell8-fdu-codexis-r10-c23,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,17138896,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",152,39748912,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009668,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321740,NextSeq 550,na12878-icell8-fdu-codexis-r10-c22,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,502145,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",152,919904,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009669,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321739,NextSeq 550,na12878-icell8-fdu-133quickligase-r01-c20,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,34571048,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",152,84360760,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009670,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321738,NextSeq 550,na12878-icell8-fdu-codexis-r10-c21,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,15004807,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",152,35969128,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009671,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321737,NextSeq 550,na12878-icell8-fdu-codexis-r10-c20,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,17906281,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",152,43154168,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009672,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321736,NextSeq 550,na12878-icell8-fdu-codexis-r10-c19,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,18411506,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",152,44470032,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009673,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321735,NextSeq 550,na12878-icell8-fdu-codexis-r10-c18,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,17736881,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",152,42023896,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009674,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321734,NextSeq 550,na12878-icell8-fdu-codexis-r10-c17,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,19167422,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",152,46243720,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009675,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321733,NextSeq 550,na12878-icell8-fdu-codexis-r10-c14,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,13296096,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",152,31404872,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009676,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321732,NextSeq 550,na12878-icell8-fdu-codexis-r10-c12,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,19598248,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",152,47085952,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009677,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321731,NextSeq 550,na12878-icell8-fdu-codexis-r10-c10,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,12266544,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",152,29505328,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009678,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321730,NextSeq 550,na12878-icell8-fdu-codexis-r09-c23,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,26022853,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",152,61231072,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009679,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321729,NextSeq 550,na12878-icell8-fdu-codexis-r09-c22,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,18680988,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",152,44636016,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009680,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321728,NextSeq 550,na12878-icell8-fdu-133quickligase-r01-c19,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,31674571,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",152,77416184,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009681,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321727,NextSeq 550,na12878-icell8-fdu-133quickligase-r01-c03,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,15412785,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",152,37541720,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009682,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321726,NextSeq 550,na12878-icell8-fdu-133quickligase-r01-c01,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,20388584,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",152,49910264,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009683,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321725,NextSeq 550,na12878-icell8-fdu-codexis-r09-c21,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,24349515,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",152,58811840,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009684,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321724,NextSeq 550,na12878-icell8-fdu-codexis-r09-c20,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,27014765,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",152,65516864,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009685,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321723,NextSeq 550,na12878-icell8-fdu-codexis-r09-c19,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,27491628,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",152,66769800,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009686,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321722,NextSeq 550,na12878-icell8-fdu-codexis-r09-c18,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,23733043,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",152,57207024,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009687,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321721,NextSeq 550,na12878-icell8-fdu-codexis-r09-c17,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,28799608,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",152,69894920,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009688,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321720,NextSeq 550,na12878-icell8-fdu-codexis-r09-c15,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,27756992,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",152,67488456,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009689,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321719,NextSeq 550,na12878-icell8-fdu-codexis-r09-c13,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,26347461,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",152,64100680,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009690,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321718,NextSeq 550,na12878-icell8-fdu-codexis-r09-c11,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,22465798,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",152,54228736,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
